Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power
1,23,2,0.0,0.0
1,23,3,0.0,0.0
1,23,4,0.0,0.0
1,23,5,0.0,0.0
1,23,6,0.0,0.0
1,23,7,0.0,0.0
1,23,8,0.0,0.0
1,23,9,-0.0,-0.0
1,23,10,21.402068,28.023926
1,23,11,53.788567,70.76997999999999
1,23,12,75.944618,100.398019
1,23,13,88.627673,117.585111
1,23,14,86.862753,115.27178500000001
1,23,15,86.711553,115.05267500000001
1,23,16,72.00253500000001,95.24439699999999
1,23,17,5.042968,6.595686
1,23,18,16.13841,21.142042
1,23,19,-0.0,-0.0
1,23,20,0.0,0.0
1,23,21,0.0,0.0
1,23,22,0.0,0.0
1,23,23,0.0,0.0
1,24,0,0.0,0.0
1,24,1,0.0,0.0
1,24,2,0.0,0.0
1,24,3,0.0,0.0
1,24,4,0.0,0.0
1,24,5,0.0,0.0
1,24,6,0.0,0.0
1,24,7,0.0,0.0
1,24,8,0.0,0.0
1,24,9,-0.0,-0.0
1,24,10,28.154618,36.907221
1,24,11,63.007214999999995,83.030075
1,24,12,86.110136,114.01820699999999
1,24,13,99.089346,131.612556
1,24,14,102.909337,136.810936
1,24,15,97.464354,129.396751
1,24,16,81.16559299999999,107.408304
1,24,17,55.075185,72.56058800000001
1,24,18,20.509787,26.883273000000003
1,24,19,-0.0,-0.0
1,24,20,0.0,0.0
1,24,21,0.0,0.0
1,24,22,0.0,0.0
1,24,23,0.0,0.0
1,25,0,0.0,0.0
1,25,1,0.0,0.0
1,25,2,0.0,0.0
1,25,3,0.0,0.0
1,25,4,0.0,0.0
1,25,5,0.0,0.0
1,25,6,0.0,0.0
1,25,7,0.0,0.0
1,25,8,0.0,0.0
1,25,9,-0.0,-0.0
1,25,10,1.092431,1.419386
1,25,11,2.767424,3.613245
1,25,12,8.436228999999999,11.037269
1,25,13,54.820598,72.135102
1,25,14,33.360752,43.783088000000006
1,25,15,45.127716,59.324234
1,25,16,73.420248,96.919791
1,25,17,28.670711,37.608292999999996
1,25,18,14.775981,19.347527
1,25,19,-0.0,-0.0
1,25,20,0.0,0.0
1,25,21,0.0,0.0
1,25,22,0.0,0.0
1,25,23,0.0,0.0
1,26,0,0.0,0.0
1,26,1,0.0,0.0
1,26,2,0.0,0.0
1,26,3,0.0,0.0
1,26,4,0.0,0.0
1,26,5,0.0,0.0
1,26,6,0.0,0.0
1,26,7,0.0,0.0
1,26,8,0.0,0.0
1,26,9,-0.0,-0.0
1,26,10,14.196834,18.573475
1,26,11,35.509702,46.573854
1,26,12,49.221128,64.687031
1,26,13,43.582856,57.250728
1,26,14,38.62810700000001,50.720645
1,26,15,28.002440999999997,36.726572999999995
1,26,16,20.171885,26.433981
1,26,17,10.036603999999999,13.136662
1,26,18,3.429658,4.4811689999999995
1,26,19,-0.0,-0.0
1,26,20,0.0,0.0
1,26,21,0.0,0.0
1,26,22,0.0,0.0
1,26,23,0.0,0.0
1,27,0,0.0,0.0
1,27,1,0.0,0.0
1,27,2,0.0,0.0
1,27,3,0.0,0.0
1,27,4,0.0,0.0
1,27,5,0.0,0.0
1,27,6,0.0,0.0
1,27,7,0.0,0.0
1,27,8,0.0,0.0
1,27,9,-0.0,-0.0
1,27,10,20.18741,26.430059
1,27,11,45.136019,59.279754000000004
1,27,12,66.105804,87.10226399999999
1,27,13,91.69007,121.345603
1,27,14,96.02869500000001,127.22202800000001
1,27,15,90.17764100000001,119.38770299999999
1,27,16,74.385822,98.237853
1,27,17,47.982594,63.116715
1,27,18,17.015389,22.288325
1,27,19,-0.0,-0.0
1,27,20,0.0,0.0
1,27,21,0.0,0.0
1,27,22,0.0,0.0
1,27,23,0.0,0.0
1,28,0,0.0,0.0
1,28,1,0.0,0.0
1,28,2,0.0,0.0
1,28,3,0.0,0.0
1,28,4,0.0,0.0
1,28,5,0.0,0.0
1,28,6,0.0,0.0
1,28,7,0.0,0.0
1,28,8,0.0,0.0
1,28,9,-0.0,-0.0
1,28,10,6.298582000000001,8.231993000000001
1,28,11,16.310336,21.346617
1,28,12,16.226927,21.240599
1,28,13,61.666205000000005,81.23451
1,28,14,15.096154,19.763453000000002
1,28,15,14.168534,18.547517
1,28,16,17.813440999999997,23.328153999999998
1,28,17,45.564105000000005,59.887034
1,28,18,15.658563000000001,20.498454000000002
1,28,19,-0.0,-0.0
1,28,20,0.0,0.0
1,28,21,0.0,0.0
1,28,22,0.0,0.0
1,28,23,0.0,0.0
1,29,0,0.0,0.0
1,29,1,0.0,0.0
1,29,2,0.0,0.0
1,29,3,0.0,0.0
1,29,4,0.0,0.0
1,29,5,0.0,0.0
1,29,6,0.0,0.0
1,29,7,0.0,0.0
1,29,8,0.0,0.0
1,29,9,-0.0,-0.0
1,29,10,25.269111000000002,33.091673
1,29,11,57.972204,76.259687
1,29,12,81.814871,108.05585099999999
1,29,13,96.57227800000001,127.890261
1,29,14,101.024959,133.90489799999997
1,29,15,94.682018,125.37392600000001
1,29,16,77.771362,102.708206
1,29,17,52.705758,69.33908500000001
1,29,18,19.863812000000003,26.018386
1,29,19,-0.0,-0.0
1,29,20,0.0,0.0
1,29,21,0.0,0.0
1,29,22,0.0,0.0
1,29,23,0.0,0.0
1,30,0,0.0,0.0
1,30,1,0.0,0.0
1,30,2,0.0,0.0
1,30,3,0.0,0.0
1,30,4,0.0,0.0
1,30,5,0.0,0.0
1,30,6,0.0,0.0
1,30,7,0.0,0.0
1,30,8,0.0,0.0
1,30,9,-0.0,-0.0
1,30,10,26.572809,34.807792
1,30,11,60.282719,79.31875699999999
1,30,12,83.81468,110.687803
1,30,13,97.49785899999999,129.064634
1,30,14,100.371207,132.961826
1,30,15,94.206917,124.682688
1,30,16,78.04579700000001,103.04364699999999
1,30,17,52.698695,69.318927
1,30,18,20.568666,26.942112
1,30,19,-0.0,-0.0
1,30,20,0.0,0.0
1,30,21,0.0,0.0
1,30,22,0.0,0.0
1,30,23,0.0,0.0
1,31,0,0.0,0.0
1,31,1,0.0,0.0
1,31,2,0.0,0.0
1,31,3,0.0,0.0
1,31,4,0.0,0.0
1,31,5,0.0,0.0
1,31,6,0.0,0.0
1,31,7,0.0,0.0
1,31,8,0.0,0.0
1,31,9,-0.0,-0.0
1,31,10,29.299124,38.396370000000005
1,31,11,63.09366000000001,83.103083
1,31,12,86.925553,115.009421
1,31,13,101.267499,134.37351199999998
1,31,14,106.15365200000001,140.964775
1,31,15,88.122426,116.626914
1,31,16,65.522294,86.390263
1,31,17,40.249194,52.863496
1,31,18,16.236096,21.258200000000002
1,31,19,-0.0,-0.0
1,31,20,0.0,0.0
1,31,21,0.0,0.0
1,31,22,0.0,0.0
1,31,23,0.0,0.0
2,1,0,0.0,0.0
2,1,1,0.0,0.0
2,1,2,0.0,0.0
2,1,3,0.0,0.0
2,1,4,0.0,0.0
2,1,5,0.0,0.0
